Years,Time,Air density,wind speed,Power generation
01-12-2019 00:00,1,1.318,8.285,2578.96
01-12-2019 01:00,2,1.314,7.99,2379.431
01-12-2019 02:00,3,1.309,7.685,2162.803
01-12-2019 03:00,4,1.304,7.547,2068.773
01-12-2019 04:00,5,1.302,7.058,1740.835
01-12-2019 05:00,6,1.3,6.59,1444.972
01-12-2019 06:00,7,1.3,6.048,1134.929
01-12-2019 07:00,8,1.301,5.632,915.033
01-12-2019 08:00,9,1.303,5.961,1088.558
01-12-2019 09:00,10,1.304,6.117,1168.477
01-12-2019 10:00,11,1.305,6.332,1295.209
01-12-2019 11:00,12,1.305,6.082,1153.452
01-12-2019 12:00,13,1.306,5.476,840.221
01-12-2019 13:00,14,1.307,4.979,623.817
01-12-2019 14:00,15,1.307,4.607,483.827
01-12-2019 15:00,16,1.308,4.01,297.279
01-12-2019 16:00,17,1.308,3.932,276.157
01-12-2019 17:00,18,1.309,3.996,293.517
01-12-2019 18:00,19,1.309,4.279,378.396
01-12-2019 19:00,20,1.31,4.633,496.556
01-12-2019 20:00,21,1.31,4.952,613.053
01-12-2019 21:00,22,1.311,4.891,589.266
01-12-2019 22:00,23,1.312,4.824,563.397
01-12-2019 23:00,24,1.312,4.637,497.716
02-12-2019 00:00,25,1.311,4.574,472.27
02-12-2019 01:00,26,1.308,4.787,552.857
02-12-2019 02:00,27,1.305,4.383,411.338
02-12-2019 03:00,28,1.303,4.105,324.023
02-12-2019 04:00,29,1.302,4.104,323.706
02-12-2019 05:00,30,1.302,4.273,374.569
02-12-2019 06:00,31,1.303,4.569,470.758
02-12-2019 07:00,32,1.305,4.936,606.902
02-12-2019 08:00,33,1.308,5.574,891.081
02-12-2019 09:00,34,1.311,6.045,1131.664
02-12-2019 10:00,35,1.313,6.868,1622.735
02-12-2019 11:00,36,1.315,7.698,2171.685
02-12-2019 12:00,37,1.317,8.158,2489.88
02-12-2019 13:00,38,1.319,8.224,2533.748
02-12-2019 14:00,39,1.321,8.075,2434.18
02-12-2019 15:00,40,1.323,7.583,2097.784
02-12-2019 16:00,41,1.325,7.318,1913.563
02-12-2019 17:00,42,1.326,7.398,1974.085
02-12-2019 18:00,43,1.328,7.609,2111.582
02-12-2019 19:00,44,1.33,7.692,2167.974
02-12-2019 20:00,45,1.332,7.343,1932.583
02-12-2019 21:00,46,1.335,7.068,1747.804
02-12-2019 22:00,47,1.337,6.964,1683.69
02-12-2019 23:00,48,1.34,6.758,1554.879
03-12-2019 00:00,49,1.341,6.738,1542.024
03-12-2019 01:00,50,1.34,6.836,1600.388
03-12-2019 02:00,51,1.338,7.093,1766.288
03-12-2019 03:00,52,1.337,7.065,1745.992
03-12-2019 04:00,53,1.337,7.179,1821.44
03-12-2019 05:00,54,1.337,7.206,1838.907
03-12-2019 06:00,55,1.339,7.734,2199.015
03-12-2019 07:00,56,1.341,8.032,2407.263
03-12-2019 08:00,57,1.344,8.626,2806.005
03-12-2019 09:00,58,1.347,9.185,3171.044
03-12-2019 10:00,59,1.35,9.711,3485.071
03-12-2019 11:00,60,1.353,10.28,3778.354
03-12-2019 12:00,61,1.356,10.61,3932.279
03-12-2019 13:00,62,1.359,10.552,3906.112
03-12-2019 14:00,63,1.361,10.163,3722.718
03-12-2019 15:00,64,1.364,9.578,3408.536
03-12-2019 16:00,65,1.366,8.979,3037.824
03-12-2019 17:00,66,1.368,8.389,2646.475
03-12-2019 18:00,67,1.37,8.084,2441.71
03-12-2019 19:00,68,1.372,8.106,2455.495
03-12-2019 20:00,69,1.373,8.05,2421.023
03-12-2019 21:00,70,1.374,7.975,2362.658
03-12-2019 22:00,71,1.376,7.94,2338.599
03-12-2019 23:00,72,1.377,7.787,2235.081
04-12-2019 00:00,73,1.376,7.588,2097.884
04-12-2019 01:00,74,1.373,7.39,1968.43
04-12-2019 02:00,75,1.369,7.248,1867.956
04-12-2019 03:00,76,1.365,7.069,1748.628
04-12-2019 04:00,77,1.362,6.897,1638.717
04-12-2019 05:00,78,1.36,6.718,1524.841
04-12-2019 06:00,79,1.36,6.693,1512.235
04-12-2019 07:00,80,1.361,6.832,1600.247
04-12-2019 08:00,81,1.364,7.069,1748.152
04-12-2019 09:00,82,1.366,7.145,1804.379
04-12-2019 10:00,83,1.369,7.386,1963.263
04-12-2019 11:00,84,1.371,7.886,2301.446
04-12-2019 12:00,85,1.374,8.303,2592.626
04-12-2019 13:00,86,1.376,8.591,2782.841
04-12-2019 14:00,87,1.378,8.748,2888.592
04-12-2019 15:00,88,1.38,8.539,2748.627
04-12-2019 16:00,89,1.382,8.156,2489.87
04-12-2019 17:00,90,1.384,8.138,2474.457
04-12-2019 18:00,91,1.386,7.968,2357.421
04-12-2019 19:00,92,1.388,7.733,2197.381
04-12-2019 20:00,93,1.389,7.24,1867.772
04-12-2019 21:00,94,1.39,6.872,1625.747
04-12-2019 22:00,95,1.391,6.655,1484.346
04-12-2019 23:00,96,1.391,6.594,1449.406
05-12-2019 00:00,97,1.389,6.54,1414.253
05-12-2019 01:00,98,1.384,6.533,1410.186
05-12-2019 02:00,99,1.377,6.592,1446.725
05-12-2019 03:00,100,1.369,6.826,1595.26
05-12-2019 04:00,101,1.364,6.763,1556.018
05-12-2019 05:00,102,1.36,6.408,1335.097
05-12-2019 06:00,103,1.359,6.155,1189.654
05-12-2019 07:00,104,1.361,6.016,1115.29
05-12-2019 08:00,105,1.364,6.139,1180.849
05-12-2019 09:00,106,1.366,6.203,1218.117
05-12-2019 10:00,107,1.368,6.543,1416.291
05-12-2019 11:00,108,1.37,7.112,1777.703
05-12-2019 12:00,109,1.371,7.605,2111.509
05-12-2019 13:00,110,1.372,7.885,2300.443
05-12-2019 14:00,111,1.373,7.879,2297.102
05-12-2019 15:00,112,1.373,7.279,1893.192
05-12-2019 16:00,113,1.373,7.109,1775.216
05-12-2019 17:00,114,1.373,6.929,1658.02
05-12-2019 18:00,115,1.373,6.648,1480.13
05-12-2019 19:00,116,1.373,6.292,1267.478
05-12-2019 20:00,117,1.372,5.889,1045.573
05-12-2019 21:00,118,1.372,5.546,877.98
05-12-2019 22:00,119,1.37,5.286,757.501
05-12-2019 23:00,120,1.369,5.14,690.382
06-12-2019 00:00,121,1.364,5.001,632.656
06-12-2019 01:00,122,1.355,5.108,676.848
06-12-2019 02:00,123,1.345,4.929,604.064
06-12-2019 03:00,124,1.337,4.776,547.199
06-12-2019 04:00,125,1.331,4.735,529.894
06-12-2019 05:00,126,1.327,5.038,651.48
06-12-2019 06:00,127,1.327,5.665,931.181
06-12-2019 07:00,128,1.328,6.266,1254.878
06-12-2019 08:00,129,1.33,6.18,1203.839
06-12-2019 09:00,130,1.331,6.962,1683.655
06-12-2019 10:00,131,1.332,8.04,2407.594
06-12-2019 11:00,132,1.333,8.686,2850.86
06-12-2019 12:00,133,1.333,8.625,2805.804
06-12-2019 13:00,134,1.334,8.237,2547.421
06-12-2019 14:00,135,1.334,7.507,2045.289
06-12-2019 15:00,136,1.336,7.445,2002.49
06-12-2019 16:00,137,1.339,7.127,1788.336
06-12-2019 17:00,138,1.342,6.521,1402.766
06-12-2019 18:00,139,1.345,6.24,1243.229
06-12-2019 19:00,140,1.348,6.602,1456.613
06-12-2019 20:00,141,1.351,6.181,1205.048
06-12-2019 21:00,142,1.353,6.15,1187.213
06-12-2019 22:00,143,1.354,6.229,1236.709
06-12-2019 23:00,144,1.355,6.161,1193.882
07-12-2019 00:00,145,1.356,6.027,1123.252
07-12-2019 01:00,146,1.353,5.495,849.101
07-12-2019 02:00,147,1.347,5.561,885.094
07-12-2019 03:00,148,1.341,5.582,894.214
07-12-2019 04:00,149,1.337,5.742,969.737
07-12-2019 05:00,150,1.335,5.584,894.304
07-12-2019 06:00,151,1.335,5.38,795.856
07-12-2019 07:00,152,1.337,5.255,739.81
07-12-2019 08:00,153,1.34,5.206,720.039
07-12-2019 09:00,154,1.342,5.445,828.249
07-12-2019 10:00,155,1.342,6.257,1251.452
07-12-2019 11:00,156,1.342,7.088,1762.023
07-12-2019 12:00,157,1.343,7.867,2292.863
07-12-2019 13:00,158,1.343,8.459,2693.715
07-12-2019 14:00,159,1.343,8.148,2486.674
07-12-2019 15:00,160,1.345,8.005,2387.088
07-12-2019 16:00,161,1.349,8.152,2489.837
07-12-2019 17:00,162,1.351,7.844,2274.871
07-12-2019 18:00,163,1.354,7.202,1836.159
07-12-2019 19:00,164,1.356,6.662,1490.142
07-12-2019 20:00,165,1.358,5.964,1090.066
07-12-2019 21:00,166,1.36,4.953,613.491
07-12-2019 22:00,167,1.363,3.991,292.018
07-12-2019 23:00,168,1.365,3.104,101.771
08-12-2019 00:00,169,1.363,2.333,21.907
08-12-2019 01:00,170,1.358,1.66,2.12
08-12-2019 02:00,171,1.351,1.151,0.111
08-12-2019 03:00,172,1.342,1.111,0.081
08-12-2019 04:00,173,1.335,1.797,3.812
08-12-2019 05:00,174,1.331,2.828,64.125
08-12-2019 06:00,175,1.329,3.98,289.039
08-12-2019 07:00,176,1.33,5.152,695.241
08-12-2019 08:00,177,1.333,5.065,662.771
08-12-2019 09:00,178,1.336,4.095,321.018
08-12-2019 10:00,179,1.337,4.278,377.422
08-12-2019 11:00,180,1.338,4.588,477.149
08-12-2019 12:00,181,1.338,4.847,572.091
08-12-2019 13:00,182,1.338,5.22,724.467
08-12-2019 14:00,183,1.338,5.514,857.83
08-12-2019 15:00,184,1.338,6.883,1629.312
08-12-2019 16:00,185,1.338,8.108,2455.512
08-12-2019 17:00,186,1.338,8.276,2573.763
08-12-2019 18:00,187,1.337,8.34,2613.601
08-12-2019 19:00,188,1.336,8.327,2610.879
08-12-2019 20:00,189,1.335,8.182,2504.85
08-12-2019 21:00,190,1.334,7.895,2310.862
08-12-2019 22:00,191,1.333,7.554,2073.594
08-12-2019 23:00,192,1.332,7.553,2072.33
09-12-2019 00:00,193,1.33,7.464,2012.037
09-12-2019 01:00,194,1.326,7.256,1875.309
09-12-2019 02:00,195,1.319,7.188,1832.397
09-12-2019 03:00,196,1.314,7.211,1841.796
09-12-2019 04:00,197,1.31,7.328,1925.408
09-12-2019 05:00,198,1.308,7.504,2042.397
09-12-2019 06:00,199,1.308,7.647,2143.638
09-12-2019 07:00,200,1.309,7.751,2209.024
09-12-2019 08:00,201,1.311,7.554,2073.264
09-12-2019 09:00,202,1.313,7.104,1775.067
09-12-2019 10:00,203,1.314,6.702,1515.148
09-12-2019 11:00,204,1.315,6.472,1374.592
09-12-2019 12:00,205,1.316,6.374,1318.661
09-12-2019 13:00,206,1.317,6.06,1137.217
09-12-2019 14:00,207,1.318,5.466,837.161
09-12-2019 15:00,208,1.32,4.819,561.79
09-12-2019 16:00,209,1.322,4.148,339.033
09-12-2019 17:00,210,1.325,3.564,187.517
09-12-2019 18:00,211,1.327,3.711,223.023
09-12-2019 19:00,212,1.329,4.551,464.335
09-12-2019 20:00,213,1.332,5.304,765.599
09-12-2019 21:00,214,1.334,5.116,680.161
09-12-2019 22:00,215,1.336,4.906,595.106
09-12-2019 23:00,216,1.338,4.39,413.742
10-12-2019 00:00,217,1.338,3.953,284.255
10-12-2019 01:00,218,1.335,3.81,244.822
10-12-2019 02:00,219,1.328,3.701,220.576
10-12-2019 03:00,220,1.321,3.583,191.731
10-12-2019 04:00,221,1.316,3.542,182.704
10-12-2019 05:00,222,1.313,3.156,110.086
10-12-2019 06:00,223,1.313,2.897,72.486
10-12-2019 07:00,224,1.315,2.657,45.897
10-12-2019 08:00,225,1.318,2.609,41.521
10-12-2019 09:00,226,1.32,2.384,24.52
10-12-2019 10:00,227,1.322,2.177,13.879
10-12-2019 11:00,228,1.324,2.544,36.622
10-12-2019 12:00,229,1.325,2.856,67.414
10-12-2019 13:00,230,1.327,2.891,71.738
10-12-2019 14:00,231,1.327,2.96,81.943
10-12-2019 15:00,232,1.329,3.355,145.022
10-12-2019 16:00,233,1.33,3.807,244.01
10-12-2019 17:00,234,1.332,3.911,270.731
10-12-2019 18:00,235,1.333,3.843,253.089
10-12-2019 19:00,236,1.334,3.712,223.147
10-12-2019 20:00,237,1.335,3.681,213.866
10-12-2019 21:00,238,1.336,3.701,220.728
10-12-2019 22:00,239,1.336,3.802,242.978
10-12-2019 23:00,240,1.337,3.75,230.174
11-12-2019 00:00,241,1.337,3.62,201.819
11-12-2019 01:00,242,1.334,3.634,205.197
11-12-2019 02:00,243,1.328,3.686,214.976
11-12-2019 03:00,244,1.323,3.813,245.51
11-12-2019 04:00,245,1.32,3.881,265.333
11-12-2019 05:00,246,1.319,3.808,244.412
11-12-2019 06:00,247,1.319,3.859,257.296
11-12-2019 07:00,248,1.322,3.862,258.483
11-12-2019 08:00,249,1.325,3.474,170.396
11-12-2019 09:00,250,1.328,3.458,167.041
11-12-2019 10:00,251,1.329,4.298,382.164
11-12-2019 11:00,252,1.331,4.979,623.819
11-12-2019 12:00,253,1.333,5.511,856.698
11-12-2019 13:00,254,1.334,6.003,1108.238
11-12-2019 14:00,255,1.336,6.227,1233.753
11-12-2019 15:00,256,1.339,6.02,1115.419
11-12-2019 16:00,257,1.342,5.878,1039.646
11-12-2019 17:00,258,1.344,5.458,836.041
11-12-2019 18:00,259,1.346,5.134,687.796
11-12-2019 19:00,260,1.347,4.935,606.391
11-12-2019 20:00,261,1.348,4.589,477.598
11-12-2019 21:00,262,1.349,4.434,425.137
11-12-2019 22:00,263,1.348,4.12,330.853
11-12-2019 23:00,264,1.347,4.033,305.333
12-12-2019 00:00,265,1.345,3.936,277.347
12-12-2019 01:00,266,1.339,4.169,342.436
12-12-2019 02:00,267,1.33,4.406,418.939
12-12-2019 03:00,268,1.322,4.46,433.751
12-12-2019 04:00,269,1.315,4.395,415.373
12-12-2019 05:00,270,1.311,4.226,359.478
12-12-2019 06:00,271,1.31,4.181,345.939
12-12-2019 07:00,272,1.311,4.33,391.609
12-12-2019 08:00,273,1.314,4.546,464.042
12-12-2019 09:00,274,1.316,4.529,459.942
12-12-2019 10:00,275,1.318,4.961,616.878
12-12-2019 11:00,276,1.319,6.015,1115.255
12-12-2019 12:00,277,1.32,6.435,1354.202
12-12-2019 13:00,278,1.32,6.568,1431.502
12-12-2019 14:00,279,1.32,6.013,1115.191
12-12-2019 15:00,280,1.32,6.467,1372.059
12-12-2019 16:00,281,1.322,7.053,1737.548
12-12-2019 17:00,282,1.323,7.376,1955.159
12-12-2019 18:00,283,1.324,7.484,2028.038
12-12-2019 19:00,284,1.325,7.341,1929.809
12-12-2019 20:00,285,1.325,7.212,1842.532
12-12-2019 21:00,286,1.326,7.214,1844.215
12-12-2019 22:00,287,1.326,7.264,1881.232
12-12-2019 23:00,288,1.326,7.385,1961.724
13-12-2019 00:00,289,1.325,6.984,1695.599
13-12-2019 01:00,290,1.322,6.376,1318.714
13-12-2019 02:00,291,1.316,5.758,977.868
13-12-2019 03:00,292,1.31,5.133,687.337
13-12-2019 04:00,293,1.306,4.774,546.002
13-12-2019 05:00,294,1.304,4.595,479.664
13-12-2019 06:00,295,1.303,4.462,434.301
13-12-2019 07:00,296,1.304,4.237,362.798
13-12-2019 08:00,297,1.307,3.833,250.663
13-12-2019 09:00,298,1.31,4.022,301.039
13-12-2019 10:00,299,1.314,3.654,207.586
13-12-2019 11:00,300,1.317,3.449,165.235
13-12-2019 12:00,301,1.321,3.356,145.211
13-12-2019 13:00,302,1.324,3.369,149.304
13-12-2019 14:00,303,1.328,3.321,138.787
13-12-2019 15:00,304,1.331,3.754,231.213
13-12-2019 16:00,305,1.336,4.571,471.397
13-12-2019 17:00,306,1.339,5.413,810.647
13-12-2019 18:00,307,1.343,6.028,1123.743
13-12-2019 19:00,308,1.346,6.07,1142.993
13-12-2019 20:00,309,1.349,5.934,1069.203
13-12-2019 21:00,310,1.35,5.682,939.619
13-12-2019 22:00,311,1.351,5.536,873.048
13-12-2019 23:00,312,1.352,5.254,739.41
14-12-2019 00:00,313,1.351,4.836,568.028
14-12-2019 01:00,314,1.345,4.445,428.628
14-12-2019 02:00,315,1.337,4.137,335.878
14-12-2019 03:00,316,1.329,3.945,280.796
14-12-2019 04:00,317,1.324,3.928,275.063
14-12-2019 05:00,318,1.322,3.697,219.123
14-12-2019 06:00,319,1.321,3.632,204.714
14-12-2019 07:00,320,1.323,3.495,174.732
14-12-2019 08:00,321,1.326,3.584,191.968
14-12-2019 09:00,322,1.327,3.817,246.635
14-12-2019 10:00,323,1.327,4.022,301.283
14-12-2019 11:00,324,1.327,4.783,551.464
14-12-2019 12:00,325,1.326,5.174,704.533
14-12-2019 13:00,326,1.325,5.167,701.637
14-12-2019 14:00,327,1.324,5.058,659.655
14-12-2019 15:00,328,1.325,4.717,523.596
14-12-2019 16:00,329,1.326,4.78,550.011
14-12-2019 17:00,330,1.327,4.837,568.44
14-12-2019 18:00,331,1.327,5.111,677.832
14-12-2019 19:00,332,1.326,5.632,914.747
14-12-2019 20:00,333,1.326,6.197,1215.02
14-12-2019 21:00,334,1.325,6.784,1564.773
14-12-2019 22:00,335,1.325,6.709,1523.36
14-12-2019 23:00,336,1.324,6.366,1313.562
15-12-2019 00:00,337,1.321,6.053,1137.002
15-12-2019 01:00,338,1.315,5.757,977.106
15-12-2019 02:00,339,1.308,5.663,930.012
15-12-2019 03:00,340,1.301,5.78,994.08
15-12-2019 04:00,341,1.296,6.088,1153.644
15-12-2019 05:00,342,1.293,6.461,1371.864
15-12-2019 06:00,343,1.292,6.874,1625.827
15-12-2019 07:00,344,1.293,7.355,1941.646
15-12-2019 08:00,345,1.295,7.295,1897.896
15-12-2019 09:00,346,1.296,6.696,1512.315
15-12-2019 10:00,347,1.296,6.274,1257.018
15-12-2019 11:00,348,1.297,6.286,1264.287
15-12-2019 12:00,349,1.297,7.127,1788.328
15-12-2019 13:00,350,1.298,6.992,1703.081
15-12-2019 14:00,351,1.299,7.194,1834.58
15-12-2019 15:00,352,1.301,8.233,2542.436
15-12-2019 16:00,353,1.304,8.344,2618.805
15-12-2019 17:00,354,1.308,7.826,2264.563
15-12-2019 18:00,355,1.31,6.984,1695.804
15-12-2019 19:00,356,1.313,5.692,945.271
15-12-2019 20:00,357,1.316,4.615,488.354
15-12-2019 21:00,358,1.317,3.901,270.19
15-12-2019 22:00,359,1.318,2.797,61.497
15-12-2019 23:00,360,1.318,1.914,5.809
16-12-2019 00:00,361,1.314,1.838,4.359
16-12-2019 01:00,362,1.308,2.273,18.399
16-12-2019 02:00,363,1.299,2.63,43.355
16-12-2019 03:00,364,1.292,3.194,117.033
16-12-2019 04:00,365,1.287,3.9,270.048
16-12-2019 05:00,366,1.285,4.199,351.306
16-12-2019 06:00,367,1.285,4.468,436.258
16-12-2019 07:00,368,1.286,4.885,588.565
16-12-2019 08:00,369,1.288,4.875,586.474
16-12-2019 09:00,370,1.288,4.432,424.447
16-12-2019 10:00,371,1.288,4.724,525.875
16-12-2019 11:00,372,1.289,5.114,679.154
16-12-2019 12:00,373,1.289,4.994,629.956
16-12-2019 13:00,374,1.289,4.803,558.987
16-12-2019 14:00,375,1.29,5.33,773.065
16-12-2019 15:00,376,1.291,6.476,1379.315
16-12-2019 16:00,377,1.293,7.137,1797.126
16-12-2019 17:00,378,1.295,6.996,1703.196
16-12-2019 18:00,379,1.297,6.702,1515.279
16-12-2019 19:00,380,1.3,6.585,1444.505
16-12-2019 20:00,381,1.303,6.363,1310.168
16-12-2019 21:00,382,1.306,6.202,1217.597
16-12-2019 22:00,383,1.309,5.802,1004.183
16-12-2019 23:00,384,1.313,5.211,720.436
17-12-2019 00:00,385,1.316,4.327,390.554
17-12-2019 01:00,386,1.316,3.518,177.744
17-12-2019 02:00,387,1.314,2.999,86.208
17-12-2019 03:00,388,1.312,3.347,143.55
17-12-2019 04:00,389,1.31,5.722,959.427
17-12-2019 05:00,390,1.31,7.026,1720.196
17-12-2019 06:00,391,1.313,7.681,2160.259
17-12-2019 07:00,392,1.317,7.688,2165.224
17-12-2019 08:00,393,1.322,7.542,2065.145
17-12-2019 09:00,394,1.327,7.895,2311.14
17-12-2019 10:00,395,1.332,7.913,2322.146
17-12-2019 11:00,396,1.336,8.102,2455.459
17-12-2019 12:00,397,1.34,8.47,2701.299
17-12-2019 13:00,398,1.343,8.657,2828.953
17-12-2019 14:00,399,1.346,8.215,2527.441
17-12-2019 15:00,400,1.349,8.161,2491.476
17-12-2019 16:00,401,1.352,7.97,2359.165
17-12-2019 17:00,402,1.356,7.62,2125.005
17-12-2019 18:00,403,1.358,7.231,1855.632
17-12-2019 19:00,404,1.361,6.801,1575.484
17-12-2019 20:00,405,1.363,6.415,1342.128
17-12-2019 21:00,406,1.365,5.813,1005.729
17-12-2019 22:00,407,1.366,4.877,587.312
17-12-2019 23:00,408,1.366,4.232,361.436
18-12-2019 00:00,409,1.365,3.771,235.354
18-12-2019 01:00,410,1.36,3.38,149.897
18-12-2019 02:00,411,1.353,3.203,119.369
18-12-2019 03:00,412,1.345,3.162,111.026
18-12-2019 04:00,413,1.34,3.181,114.082
18-12-2019 05:00,414,1.337,3.252,126.265
18-12-2019 06:00,415,1.336,3.327,139.772
18-12-2019 07:00,416,1.337,3.372,149.651
18-12-2019 08:00,417,1.34,3.616,200.057
18-12-2019 09:00,418,1.343,3.461,167.629
18-12-2019 10:00,419,1.346,3.331,140.572
18-12-2019 11:00,420,1.348,3.632,204.708
18-12-2019 12:00,421,1.35,4.053,309.147
18-12-2019 13:00,422,1.352,3.99,291.873
18-12-2019 14:00,423,1.354,3.853,255.783
18-12-2019 15:00,424,1.356,3.786,238.879
18-12-2019 16:00,425,1.358,3.779,237.329
18-12-2019 17:00,426,1.36,3.674,212.153
18-12-2019 18:00,427,1.363,3.541,182.57
18-12-2019 19:00,428,1.364,3.149,108.869
18-12-2019 20:00,429,1.365,2.897,72.505
18-12-2019 21:00,430,1.366,2.689,49.032
18-12-2019 22:00,431,1.367,2.722,53.248
18-12-2019 23:00,432,1.368,2.744,54.704
19-12-2019 00:00,433,1.368,2.843,65.873
19-12-2019 01:00,434,1.364,3.089,99.532
19-12-2019 02:00,435,1.357,3.226,123.225
